iter	Logloss
0	0.6763292964
1	0.6620742814
2	0.6462456917
3	0.6308471495
4	0.6169358001
5	0.6056447366
6	0.5957335876
7	0.5870392816
8	0.5794456562
9	0.5697049382
10	0.560863724
11	0.5525610422
12	0.5470511801
13	0.5408634918
14	0.5350368148
15	0.5308756332
16	0.5258441388
17	0.5211114016
18	0.5163214463
19	0.5125022811
20	0.5082903708
21	0.5042987574
22	0.5013586069
23	0.4977166652
24	0.4942772757
25	0.4908191267
26	0.4877840905
27	0.4851873887
28	0.4831947309
29	0.4811308221
30	0.478292212
31	0.4758817859
32	0.473554737
33	0.4717191084
34	0.4697158712
35	0.4681408764
36	0.466200457
37	0.4645317274
38	0.462800793
39	0.4606008548
40	0.4591594589
41	0.4573920803
42	0.4558439771
43	0.4545576044
44	0.4532543697
45	0.4521787381
46	0.4508337098
47	0.4495163575
48	0.4480346176
49	0.4469847893
50	0.4461038015
51	0.4449368135
52	0.4436333242
53	0.4426022969
54	0.4410413082
55	0.4401614762
56	0.4392040186
57	0.4385233697
58	0.4377777452
59	0.4369375465
60	0.436235137
61	0.4354409023
62	0.4347973732
63	0.4341838672
64	0.4332395284
65	0.432579602
66	0.4320035344
67	0.4315584099
68	0.430898106
69	0.4302823359
70	0.4296505072
71	0.4290066155
72	0.428527233
73	0.4277428399
74	0.4271912379
75	0.4267807566
76	0.426218035
77	0.4256973929
78	0.4252429717
79	0.4246915058
80	0.424307892
81	0.4239733161
82	0.4234981525
83	0.4231613476
84	0.422742311
85	0.422408419
86	0.4218116043
87	0.4213833254
88	0.4210942725
89	0.4207716185
90	0.4205095512
91	0.4201280282
92	0.4198713604
93	0.4196679495
94	0.4192328724
95	0.4189077761
96	0.4186505607
97	0.4184869228
98	0.4183149968
99	0.4179469758
100	0.4177366163
101	0.4174072544
102	0.4171136684
103	0.4166096749
104	0.4164014246
105	0.416269004
106	0.4161093399
107	0.4159503306
108	0.4156712725
109	0.415508386
110	0.4152782344
111	0.4150799691
112	0.4148174406
113	0.414503088
114	0.4141077254
115	0.4138337426
116	0.4135907846
117	0.4133319506
118	0.4131278032
119	0.4128603294
120	0.412731111
121	0.4125890037
122	0.4123827499
123	0.4121562798
124	0.4120160063
125	0.4117344701
126	0.4115036389
127	0.4113079347
128	0.4111778411
129	0.4109987394
130	0.4108090597
131	0.4106688106
132	0.4105109248
133	0.4104359886
134	0.4103317155
135	0.4102042598
136	0.4100650334
137	0.4098617074
138	0.409722448
139	0.4096992927
140	0.4095545386
141	0.4093397862
142	0.4091667593
143	0.4090793805
144	0.4088539954
145	0.4087158188
146	0.4085489524
147	0.4084162367
148	0.408330556
149	0.4082237796
150	0.4080880524
151	0.4080524559
152	0.4078862165
153	0.407733962
154	0.4075362244
155	0.4073994292
156	0.4072571907
157	0.4071660169
158	0.4070573158
159	0.4069089025
160	0.4068164613
161	0.4067489604
162	0.4066864904
163	0.4065685037
164	0.4064909863
165	0.4063765727
166	0.4062201905
167	0.4061547365
168	0.4060986466
169	0.406031281
170	0.405912505
171	0.4058491788
172	0.4057218784
173	0.4056996964
174	0.4055615797
175	0.4053592194
176	0.4052826786
177	0.4051829796
178	0.405127328
179	0.4049987938
180	0.4049105001
181	0.4048186935
182	0.4047386632
183	0.4047304522
184	0.4046250129
185	0.4045704468
186	0.4045180363
187	0.4044667652
188	0.4043750367
189	0.4043221713
190	0.4042572259
191	0.4041687973
192	0.404114695
193	0.4040581757
194	0.4039748107
195	0.4038799835
196	0.4038092423
197	0.4037367725
198	0.4036681893
199	0.4036180958
